,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
977,2020-21,HEART OF ENGLAND CO-OPERATIVE SOCIETY LIMITED,316558,15828.5,2638.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13190.42,,,,,,,0,0,0,0,0,0,0,1
978,2020-21,HEATHCOAT FABRICS LIMITED,110,5.5,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,5.5,,,,,0.9199999999999999,0,0,0,0,0,0,1,0
979,2020-21,HIDDEN HEARING LTD,3477,173.85,28.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.87,,,,,,,0,0,0,0,0,0,0,1
980,2020-21,HILLIER NURSERIES LTD,9688,497.0,82.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.17,414.17,,,,,0.0,1,0,0,0,0,0,0,0
981,2020-21,HOBBYCRAFT TRADING LTD,69337,3466.85,577.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.04,3028.95,802762.0,31287.0,,,139.90999999999985,1,0,0,0,0,0,0,0
982,2020-21,HOTEL CHOCOLAT RETAIL LTD,285,14.25,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.870000000000001,14.25,,,,,2.379999999999999,0,0,0,0,0,0,1,0
983,2020-21,HOUSE OF LORDS CATERING AND RETAIL SERVICES,40,2.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,,,,,,,0,0,0,0,0,0,0,1
984,2020-21,HUGHES TV AND AUDIO LIMITED,498,24.9,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.75,,,,,,,0,0,0,0,0,0,0,1
985,2020-21,ICELAND FOODS LTD,713468,35673.4,5945.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29727.83,29727.0,,,,,-0.8300000000017462,0,0,1,0,0,0,0,0
986,2020-21,IMPERIAL WAR MUSEUM,3196,159.8,26.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.17000000000002,,,,,,,0,0,0,0,0,0,0,1
987,2020-21,J BARBOUR & SONS LTD,5018,250.9,41.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.08,209.08,,,,,0.0,0,0,0,1,0,0,1,0
